"MacroTrends Data Download"
"RYAAY - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-05-29,1.0251,1.0351,0.8542,1.0251,6800616
1997-05-30,0.9949,1.005,0.9396,0.9949,1856244
1997-06-02,1.0351,1.0552,0.9848,1.0351,776888
1997-06-03,1.015,1.0401,1.015,1.015,260397
1997-06-04,1.0301,1.0402,1.01,1.0301,356359
1997-06-05,1.02,1.0401,1.02,1.02,283558
1997-06-06,1.0452,1.0553,1,1.0452,444265
1997-06-09,1.0904,1.1055,1.0502,1.0904,114350
1997-06-10,1.0703,1.1055,1.0603,1.0703,87271
1997-06-11,1.0502,1.0753,1.0301,1.0502,165383
1997-06-12,1.0351,1.0502,1.0251,1.0351,144874
1997-06-13,1.0301,1.0502,1.0301,1.0301,98541
1997-06-16,1.02,1.0351,1.02,1.02,56273
1997-06-17,0.9999,1.02,0.9848,0.9999,131251
1997-06-18,0.9748,0.9999,0.9597,0.9748,53064
1997-06-19,0.9798,0.9949,0.9748,0.9798,34515
1997-06-20,0.9798,0.9949,0.9798,0.9798,56899
1997-06-23,0.9648,0.995,0.9648,0.9648,34517
1997-06-24,0.9999,0.9999,0.9647,0.9999,73726
1997-06-25,1.0427,1.0553,0.9899,1.0427,198965
1997-06-26,1.0904,1.1029,1.0502,1.0904,94391
1997-06-27,1.0753,1.0904,1.0753,1.0753,115052
1997-06-30,1.0904,1.0904,1.0753,1.0904,164598
1997-07-01,1.0904,1.1004,1.0803,1.0904,258519
1997-07-02,1.0954,1.1004,1.0904,1.0954,27550
1997-07-03,1.0954,1.1155,1.0853,1.0954,82885
1997-07-07,1.0703,1.1055,1.0553,1.0703,42344
1997-07-08,1.0452,1.0603,1.0351,1.0452,54320
1997-07-09,1.0552,1.0753,1.0451,1.0552,69343
1997-07-10,1.0703,1.0854,1.0502,1.0703,77096
1997-07-11,1.0904,1.0904,1.0753,1.0904,22933
1997-07-14,1.0703,1.0904,1.0703,1.0703,41718
1997-07-15,1.0703,1.0753,1.0653,1.0703,25438
1997-07-16,1.0703,1.0854,1.0653,1.0703,56433
1997-07-17,1.0803,1.0853,1.0702,1.0803,10253
1997-07-18,1.0753,1.0803,1.0652,1.0753,18471
